"Rule ID","Rule","Reaction order","EC number"
"4.2.-1.a","([#16,#1,#6,#8:3]-[#6:2](=[O:1])-[#6:4](\[*,#1:5])=[#6:6](\[*,#1:7])-[*,#1:9]).([H:10][#8:8]-[*,#1:11])>>([H:10][C:4]([*,#1:5])([#6:2](-[#16,#1,#6,#8:3])=[O:1])[C:6]([*,#1:7])([*,#1:9])[#8:8]-[*,#1:11])",2,"4.2.1"
"4.3.-1.a","([*,#1:7]-[#6:6](-[*,#1:12])=[#6:4](-[*,#1:5])-[#6:2](-[*,#1:3])=[O:1]).([H:11][#7:8](-[*,#1:9])-[*,#1:10])>>([H:11][C:4]([*,#1:5])([#6:2](-[*,#1:3])=[O:1])[C:6]([*,#1:7])([*,#1:12])[#7:8](-[*,#1:9])-[*,#1:10])",2,"4.3.1"
"4.3.-1.c","([*,#1:9]-[#6:8](-[*,#1:15])=[#6:7](-[*,#1:13])-[#6:5]-1=[#6:6]-[#6:1]=[#6:2]-[#6:3]=[#6:4]-1).([H:14][#7:10](-[*,#1:11])-[*,#1:12])>>([H:14][C:7]([*,#1:13])([#6:5]-1=[#6:4]-[#6:3]=[#6:2]-[#6:1]=[#6:6]-1)[C:8]([*,#1:9])([*,#1:15])[#7:10](-[*,#1:11])-[*,#1:12])",2,"4.3.1"
"4.3.-1.b","([*,#1:11]-[#6:9](-[*,#1:13])-[#6:7](-[*,#1:10])-[#6:6](\[*,#1:8])=[#6:4](/[*,#1:5])-[#6:2](-[*,#1:3])=[O:1]).([H:14][#7:12](-[*,#1:15])-[*,#1:16])>>([H:14][C:7]([*,#1:10])([#6:6](\[*,#1:8])=[#6:4](/[*,#1:5])-[#6:2](-[*,#1:3])=[O:1])[C:9]([*,#1:11])([*,#1:13])[#7:12](-[*,#1:15])-[*,#1:16])",2,"4.3.1"
