"Rule ID","Rule","Reaction order","EC number"
"3.5.2.R34","([H][#8]-[#6:2](=[O:1])-[#6:3]-[#6:4]-[#6:5]-[#6:6]-[#6:7]-[#7:8]([H])[H])>>([H][#7:8]-1-[#6:7]-[#6:6]-[#6:5]-[#6:4]-[#6:3]-[#6:2]-1=[O:1])",1,"3.5.2.-"
"4.1.1.R35","([H][#8]-[#6](=O)[C:1]([H:6])([H:7])[H:8])>>([H:6][C:1]([H:8])([H:7])[H])",1,"4.1.1.-"
"4.1.1.R36","([H:6][C:1]([H:8])([H:7])[H])>>([H][#8]-[#6](=O)[C:1]([H:6])([H:7])[H:8])",1,"4.1.1.-"
"4.2.1.R37","([H][#8][C:1]([#6,#1:2])([#6,#1:3])[C:6]([H])([#6,#1:4])[#6,#1:5])>>([*:2]\[#6:1](-[*:3])=[#6:6](\[*:5])-[*:4])",1,"4.2.1.-"
"4.2.1.R38","([#6,#1:2]\[#6:1](-[#6,#1:3])=[#6:6](\[#6,#1:5])-[#6,#1:4])>>([H][#8][C:1]([*:2])([*:3])[#6:6](-[*:4])-[*:5])",1,"4.2.1.-"
"4.2.1.R39","([H][#8:5][C:6]([H])([#6,#1:4])[C:1]([#6,#1:2])([#6,#1:3])[#8][H])>>([*:2]-[#6:1](-[*:3])-[#6:6](-[*:4])=[O:5])",1,"4.2.1.-"
"4.2.1.R40","([H][C:1]([#6,#1:2])([#6,#1:3])[#6:6](-[#6,#1:4])=[O:5])>>([#8:5]-[#6:6](-[*:4])[C:1]([#8])([*:2])[*:3])",1,"4.2.1.-"
"4.3.1.R41","([H][#7]([H])[C:1]([#6,#1:2])([#6,#1:3])[C:6]([H])([#6,#1:4])[#6,#1:5])>>([*:3]\[#6:1](-[*:2])=[#6:6](\[*:4])-[*:5])",1,"4.3.1.-"
"4.3.1.R42","([#6,#1:3]\[#6:1](-[#6,#1:2])=[#6:6](\[#6,#1:4])-[#6,#1:5])>>([H][#7]([H])[C:1]([*:2])([*:3])[C:6]([H])([*:4])[*:5])",1,"4.3.1.-"
"4.3.1.R43","([H][#7]([H])[C:2]([H:7])([#6,#1:3])[C:4]([H])([#8:5])[#6,#1:6])>>([H:7][#6:2](-[*:3])-[#6:4](-[*:6])=[O:5])",1,"4.3.1.-"
"4.3.1.R44","([H:7][#6:2](-[#6,#1:3])-[#6:4](-[#6,#1:6])=[O:5])>>([H][#7]([H])-[#6:2](-[*:3])[C:4]([H])([#8:5])[*:6])",1,"4.3.1.-"
"5.4.3.R45","([H:6][#7:1]([H:7])[C:5]([H:8])([#6,#1:4])[C:2]([H:9])([H:10])[#6,#1:3])>>([H:6][#7:1]([H:7])[C:2]([H:10])([*:4])[C:5]([H:8])([H:9])[*:3])",1,"5.4.3.-"
"5.4.99.R46","([H:7][C:3]([H:8])([H:9])[#6:2](-[#6:4](-[#6,#1:5])=[O:6])[C:1]([H:10])([H:11])[H])>>([H:7][C:3]([H:9])([H:8])[#6:2][C:1]([H:10])([H:11])[#6:4](-[*:5])=[O:6])",1,"5.4.99.-"
"5.4.99.R47","([H:7][C:3]([H:9])([H:8])[#6:2][C:1]([H:10])([H:11])[#6:4](-[#6,#1:5])=[O:6])>>([H:7][C:3]([H:8])([H:9])[#6:2](-[#6:4](-[*:5])=[O:6])[C:1]([H:10])([H:11])[H])",1,"5.4.99.-"
"6.2.1.R48","([H][#8]-[#6:1](-[#6,#1:2])=[O:5])>>([#16]-[#6:1](-[*:2])=[O:5])",1,"6.2.1.-"
"6.2.1.R49","([#16]-[#6:1](-[#6,#1:2])=[O:5])>>([H][#8]-[#6:1](-[*:2])=[O:5])",1,"6.2.1.-"
