"Rule ID","Rule","Reaction order","EC number"
"4.3.2.a","([H:10][#8:8][C:6]([*,#1:7])([*,#1:9])[#7:4]([H:5])-[#6:2](-[*,#1:3])=[O:1])>>([H:10][#7:4]([H:5])-[#6:2](-[*,#1:3])=[O:1].[*,#1:7]-[#6:6](-[*,#1:9])=[O:8])",1,"4.3.2.-"
"5.3.-2.b","([H:11][C:7]([*,#1:9])([*,#1:10])[#6:6](\[*,#1:8])=[#6:4](/[*,#1:5])-[#6:2](-[*,#1:3])=[O:1])>>([H:11][C:4]([*,#1:5])([#6:2](-[*,#1:3])=[O:1])[#6:6](\[*,#1:8])=[#6:7](\[*,#1:9])-[*,#1:10])",1,"5.3.-2.-"
"5.3.2.a","([H:7][#8:6]\[#6:2](-[*,#1:5])=&!@[#6:1](/[*,#1:3])-[*,#1:4])>>([H:7][C:1]([*:3])([*:4])[#6:2](-[*:5])=[O:6])",1,"5.3.2.-"
"5.3.2.b","([H:11][C:4]([*,#1:5])([#6:2](-[*,#1:3])=[O:1])[#6:6](\[*,#1:8])=[#6:7](\[*,#1:9])-[*,#1:10])>>([H:11][C:7]([*,#1:9])([*,#1:10])[#6:6](\[*,#1:8])=[#6:4](/[*,#1:5])-[#6:2](-[*,#1:3])=[O:1])",1,"5.3.2.-"
"5.4.-99.a","([H:11][#8:3]-[#6:2](=[O:1])[C:4]([H:9])([H:6])[C:5]([H:8])([H:10])[*,#1:7])>>([H:11][#8:3]-[#6:2](=[O:1])[C:4]([H:6])([*,#1:7])[C:5]([H:8])([H:9])[H:10])",1,"5.4.-99.-"
"5.4.-99.a1","([H:8][C:5]([H:10])([*,#1:7])[C:4]([H:9])([H:6])[#6:2](-[#16:3])=[O:1])>>([H:8][C:5]([H:9])([H:10])[C:4]([H:6])([*,#1:7])[#6:2](-[#16:3])=[O:1])",1,"5.4.-99.-"
"5.4.2.a","([H:9][#8:7][P:5](=[O:8])([#8:6][H:10])[#8:4]\[#6:2](-[*,#1:1])=[#6:3](\[H:11])[H:12])>>([H:9][#8:7][P:5](=[O:8])([#8:4][H:10])[C:3]([H:11])([H:12])[#6:2](-[*,#1:1])=[O:6])",1,"5.4.2.-"
"5.4.3.a","([H:13][#8:3]-[#6:2](=[O:1])[C:4]([*,#1:10])([#7:5]([H:11])[H:12])[C:6]([H:9])([*,#1:7])[*,#1:8])>>([H:13][#8:3]-[#6:2](=[O:1])[C:4]([H:9])([*,#1:10])[C:6]([*,#1:8])([*,#1:7])[#7:5]([H:12])[H:11])",1,"5.4.3.-"
"5.4.3.b","([H:9][#7:3]([H:10])[C:1]([H:4])([H:5])[C:2]([H:6])([*,#1:7])[*,#1:8])>>([H:10][#7:3]([H:9])[C:2]([*,#1:8])([*,#1:7])[C:1]([H:6])([H:5])[H:4])",1,"5.4.3.-"
"5.4.99.a","([H:11][#8:3]-[#6:2](=[O:1])[C:4]([H:6])([*,#1:7])[C:5]([H:8])([H:9])[H:10])>>([H:11][#8:3]-[#6:2](=[O:1])[C:4]([H:9])([H:6])[C:5]([H:8])([H:10])[*,#1:7])",1,"5.4.99.-"
"5.4.99.a1","([H:8][C:5]([H:9])([H:10])[C:4]([H:6])([*,#1:7])[#6:2](-[#16:3])=[O:1])>>([H:8][C:5]([H:10])([*,#1:7])[C:4]([H:9])([H:6])[#6:2](-[#16:3])=[O:1])",1,"5.4.99.-"
"5.4.99.b","([H:22][#8:21]-[#6:19](=[O:20])-[#6:15](\[#8:13][C:5]1([*,#1:14])[#6:6](-[*,#1:24])=[#6:1](-[#6:7](=[O:9])-[#8:8][H:10])-[#6:2](-[*,#1:23])=[#6:3](-[*,#1:25])[C:4]1([*,#1:26])[#8:11][H:12])=[#6:16](/[H:17])[H:18])>>([H:22][#8:21]-[#6:19](=[O:20])-[#6:15](=[O:13])[C:16]([H:17])([H:18])[C:1]1([#6:7](=[O:9])-[#8:8][H:10])[#6:2](-[*,#1:23])=[#6:3](-[*,#1:25])[C:4]([*,#1:26])([#8:11][H:12])[#6:5](-[*,#1:14])=[#6:6]1-[*,#1:24])",1,"5.4.99.-"
"6.2.1.a","([H][#8]-[#6:2](-[*,#1:3])=[O:1])>>([#16]-[#6:2](-[*,#1:3])=[O:1])",1,"6.2.1.-"
"6.3.1.a","([H][#8]-[#6:2](-[#6,#7,#16,#1:3])=[O:1])>>([H][#7]([H])-[#6:2](-[*:3])=[O:1])",1,"6.3.1.-"
"6.4.1.a","([H][C:4]([*,#1:5])([*,#1:7])[#6:2](-[*,#1:3])=[O:1])>>([H][#8]-[#6](=O)[C:4]([*,#1:5])([*,#1:7])[#6:2](-[*,#1:3])=[O:1])",1,"6.4.1.-"
"6.4.1.b","([H:9][C:7]([*,#1:10])([*,#1:11])[#6:6](\[*,#1:8])=[#6:4](/[*,#1:5])-[#6:2](-[#16:3])=[O:1])>>([H:9][#8]-[#6](=O)[C:7]([*,#1:11])([*,#1:10])[#6:6](\[*,#1:8])=[#6:4](/[*,#1:5])-[#6:2](-[#16:3])=[O:1])",1,"6.4.1.-"
"6.4.1.b1","([H:9][C:7]([*,#1:10])([*,#1:11])[#6:6](\[*,#1:8])=[#6:4](/[*,#1:5])-[#6:2](-[#6:3])=[O:1])>>([H:9][#8]-[#6](=O)[C:7]([*,#1:11])([*,#1:10])[#6:6](\[*,#1:8])=[#6:4](/[*,#1:5])-[#6:2](-[#6:3])=[O:1])",1,"6.4.1.-"
"6.4.1.b2","([H:9][C:7]([*,#1:10])([*,#1:11])[#6:6](\[*,#1:8])=[#6:4](/[*,#1:5])-[#6:2](-[#1:3])=[O:1])>>([H:9][#8]-[#6](=O)[C:7]([*,#1:11])([*,#1:10])[#6:6](\[*,#1:8])=[#6:4](/[*,#1:5])-[#6:2](-[#1:3])=[O:1])",1,"6.4.1.-"
"6.4.1.c","([H][#8]P(=O)([#8][H])[#8]-[#6:1]-1=[#6:6](-[*,#1:16])-[#6:5](-[*,#1:15])=[#6:4]([H])-[#6:3](-[*,#1:18])=[#6:2]-1-[*,#1:17])>>([H][#8]-[#6](=O)-[#6:4]-1=[#6:3](-[*,#1:18])-[#6:2](-[*,#1:17])=[#6:1](-[#8][H])-[#6:6](-[*,#1:16])=[#6:5]-1-[*,#1:15])",1,"6.4.1.-"
