"Rule ID","Rule","Reaction order","EC number"
"1.1.1.c","([H:16][#8:4][C:2]([H])([*,#1:1])[C:3]([*,#1:9])([*,#1:10])[C:17]([*,#1:11])([*,#1:12])[C:5]([*,#1:13])([*,#1:14])[#6:6](=[O:8])[C:7]([*,#1:15])([*,#1:18])[*,#1:19])>>([H:16][#8:4][C:2]1([*:1])[#8:8]-[#6:6]([C:7]([*:15])([*:19])[*:18])[C:5]([*:13])([*:14])[C:17]([*:11])([*:12])[C:3]1([*:9])[*:10])",1,"1.1.1.-"
"1.1.1.c1","([H:16][#8:4][C:2]([H])([*,#1:1])[C:3]([*,#1:9])([*,#1:10])[C:17]([*,#1:18])([*,#1:19])[C:5]([*,#1:11])([*,#1:12])[#6:6]([H:7])=[O:8])>>([H:16][#8:4][C:2]1([*:1])[#8:8]-[#6:6]([H:7])[C:5]([*:11])([*:12])[C:17]([*:19])([*:18])[C:3]1([*:9])[*:10])",1,"1.1.1.-"
"1.1.1.d","([H:11][#8:9]-[#6:6](=[O:8])[C:4]([#8:5][H:10])([#6:2](-[#6:3])=[O:1])[C:7]([H:12])([H:13])[H:14])>>([H:10][#8:5]-[#6:4](-[#6:6](=[O:8])-[#8:9][H:11])[C:2]([#6:3])([#8:1])[C:7]([H:12])([H:14])[H:13])",1,"1.1.1.-"
"1.1.1.d1","([H:11][#8:9]-[#6:6](=[O:8])[C:4]([#8:5][H:10])([#6:2](-[#6:3])=[O:1])[C:7]([H:13])([H:14])[C:12]([H:15])([H:16])[H:17])>>([H:10][#8:5]-[#6:4](-[#6:6](=[O:8])-[#8:9][H:11])[C:2]([#6:3])([#8:1])[C:7]([H:14])([H:13])[C:12]([H:15])([H:17])[H:16])",1,"1.1.1.-"
"1.2.1.a","([H][#6:2](-[#6,#1:1])=[O:4])>>([H][#8]-[#6:2](-[*:1])=[O:4])",1,"1.2.1.-"
"1.3.-1.a","([*,#1:7]-[#6:6](-[*,#1:9])=[#6:4](-[*,#1:10])-[#6:2](-[*,#1:3])=[O:1])>>([H][C:6]([*,#1:7])([*,#1:9])[C:4]([H])([*,#1:10])[#6:2](-[*,#1:3])=[O:1])",1,"1.3.-1.-"
"1.3.-1.a1","([*,#1:7]\[#6:6](-[*,#1:9])=[#6:4](/[*,#1:10])\[#6:2](\[*,#1:3])=[#6:8](\[*,#1:11])-[*,#1:12])>>([H][C:6]([*,#1:7])([*,#1:9])[C:4]([H])([*,#1:10])[#6:2](\[*,#1:3])=[#6:8](\[*,#1:11])-[*,#1:12])",1,"1.3.-1.-"
"1.3.-1.a2","([*,#1:7]\[#6:6](-[*,#1:9])=[#6:4](/[*,#1:10])\[#6:2](\[*,#1:3])=[#7:8]/[*,#1:12])>>([H][C:6]([*,#1:7])([*,#1:9])[C:4]([H])([*,#1:10])[#6:2](\[*,#1:3])=[#7:8]/[*,#1:12])",1,"1.3.-1.-"
"1.3.1.a","([H][C:6]([*,#1:7])([*,#1:9])[C:4]([H])([*,#1:10])[#6:2](-[*,#1:3])=[O:1])>>([*,#1:7]-[#6:6](-[*,#1:9])=[#6:4](-[*,#1:10])-[#6:2](-[*,#1:3])=[O:1])",1,"1.3.1.-"
"1.3.1.a1","([H][C:6]([*,#1:7])([*,#1:9])[C:4]([H])([*,#1:10])[#6:2](\[*,#1:3])=[#6:8](\[*,#1:11])-[*,#1:12])>>([*,#1:7]\[#6:6](-[*,#1:9])=[#6:4](/[*,#1:10])\[#6:2](\[*,#1:3])=[#6:8](\[*,#1:11])-[*,#1:12])",1,"1.3.1.-"
